index	applicable	baseline_decision	refined_decision	first_baseline_failing_seed	first_refined_failing_seed	seeds	covers	baseline_passing_covers	refined_passing_covers	newly_failed_covers	support_families_checked	propagated_coordinate_deletions	refinement_cache_hits	assignment_fail_empty_propagated_mask	assignment_fail_disjoint_required_edge	assignment_fail_clique	assignment_fail_degree	assignment_fail_basis	assignment_fail_mask	assignment_fail_subspace_K	assignment_fail_component_B
815024	1	REJECTED	REJECTED	267045	267045	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
189400	1	SURVIVOR	SURVIVOR	0	0	1	93	2	2	0	91	378	0	0	89	0	0	0	0	0	0
1796724	1	REJECTED	REJECTED	104536	104536	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
572379	1	SURVIVOR	SURVIVOR	0	0	1	130	2	2	0	54	222	0	0	52	0	0	0	0	0	0
90286	1	REJECTED	REJECTED	340260	340260	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2731172	1	REJECTED	REJECTED	369928	369928	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2177841	1	REJECTED	REJECTED	58272	58272	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3328143	1	SURVIVOR	SURVIVOR	0	0	3	151	13	6	7	430	3200	0	189	235	0	0	0	0	0	0
2681964	1	SURVIVOR	SURVIVOR	0	0	1	93	5	1	4	23	157	0	7	15	0	0	0	0	0	0
1770332	1	REJECTED	REJECTED	181259	181259	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3950926	1	SURVIVOR	SURVIVOR	0	0	3	362	14	6	8	841	5501	0	452	383	0	0	0	0	0	0
3839883	1	REJECTED	REJECTED	149543	149543	1	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1705538	1	REJECTED	REJECTED	287396	287396	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
397295	1	SURVIVOR	SURVIVOR	0	0	1	130	2	2	0	43	192	0	0	41	0	0	0	0	0	0
3792129	1	REJECTED	REJECTED	201241	201241	3	223	2	2	0	43	186	0	0	41	0	0	0	0	0	0
2536877	1	REJECTED	REJECTED	173093	173093	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3960580	1	REJECTED	REJECTED	151764	151764	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364900	1	REJECTED	REJECTED	334090	334090	4	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
369959	1	SURVIVOR	SURVIVOR	0	0	1	64	7	2	5	452	3784	0	262	188	0	0	0	0	0	0
3793317	1	REJECTED	REJECTED	201241	201241	3	216	5	4	1	102	451	0	0	98	0	0	0	0	0	0
636253	1	REJECTED	REJECTED	208016	208016	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2267892	1	REJECTED	REJECTED	411659	411659	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1378203	1	REJECTED	REJECTED	431392	431392	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2873261	1	SURVIVOR	SURVIVOR	0	0	2	84	12	2	10	55	289	0	5	48	0	0	0	0	0	0
2742051	1	REJECTED	REJECTED	213031	213031	2	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0
701204	1	REJECTED	REJECTED	345176	345176	2	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3368309	1	REJECTED	REJECTED	297290	297290	5	96	1	1	0	1	0	0	0	0	0	0	0	0	0	0
181646	1	REJECTED	REJECTED	107156	107156	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
632013	1	SURVIVOR	SURVIVOR	0	0	1	93	2	2	0	80	316	0	0	78	0	0	0	0	0	0
1149707	1	REJECTED	REJECTED	299608	299608	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
591249	1	REJECTED	REJECTED	41765	41765	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3781785	1	REJECTED	REJECTED	91300	91300	2	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
525275	1	REJECTED	REJECTED	87128	87128	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2400723	1	REJECTED	REJECTED	297493	297493	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
