ordinal	index	population	status	winning_order	winning_circles	orders_available	orders_tried	kernel_calls	kernel_killed	kernel_survivors	kernel_aborts	total_nodes	unresolved_cells	elapsed_seconds	error_type	error_message
99	576125	K7	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.347189125		
100	580242	K7	ABORT	-1	-1	3	2	2	0	0	2	40002	0	27.127261959		
101	580243	K7	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.275497709		
102	581731	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.102080834		
103	581772	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.819270250		
104	586167	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	19.647702542		
105	591851	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	5.429023500		
106	612978	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.426739125		
107	620196	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	4.826859708		
108	764898	K7	ABORT	-1	-1	3	2	2	0	0	2	40002	0	13.591076459		
109	765246	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.768670917		
110	765267	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.096810541		
111	765507	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.224266333		
112	765512	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	4.600220125		
113	765514	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.240710875		
114	770126	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.927860375		
115	770137	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.415166708		
116	770203	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.316031959		
117	771391	K7	ABORT	-1	-1	2	1	6	5	0	1	20847	0	24.390679875		
118	772641	K7	ABORT	-1	-1	3	2	2	0	0	2	40002	0	101.901065792		
119	775378	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.269727333		
120	777341	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	7.795428417		
121	777342	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.727737333		
122	777395	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.209687667		
123	777397	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	10.770969459		
124	777398	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.845703125		
125	777797	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.270868458		
126	810103	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.661204000		
127	810120	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.984309667		
128	813584	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.621046042		
129	813827	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.891835084		
130	813859	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.917701000		
131	889883	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.945909167		
132	897919	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.416265042		
133	932882	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.756361166		
134	935185	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.187422833		
135	940161	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.084270458		
136	940622	K6	ABORT	-1	-1	2	1	2	1	0	1	28241	0	4.973320375		
137	940663	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.902438208		
138	940810	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.987497500		
139	940942	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.872166250		
140	940944	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	7.952397542		
141	943842	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.537777917		
142	945149	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	7.384454333		
143	945162	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.464625292		
144	945207	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.202458500		
145	955663	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.856385250		
146	967443	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.876633459		
147	982344	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.467736250		
148	987607	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	12.456126292		
149	995016	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.062247542		
150	1001801	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.300714125		
151	1047307	K7	ABORT	-1	-1	3	2	2	0	0	2	40002	0	16.378012875		
152	1069631	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.811043666		
153	1069862	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.070949042		
154	1090729	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.689219042		
155	1090937	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.008073250		
156	1093973	K6	ABORT	-1	-1	2	1	2	1	0	1	33622	0	3.003299083		
157	1109142	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	4.952325083		
158	1110566	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.170318167		
159	1111006	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.659994459		
160	1122794	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.147011458		
161	1122812	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.789990708		
162	1133715	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.692151666		
163	1135953	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.073713833		
164	1139619	K6	ABORT	-1	-1	2	1	2	1	0	1	31524	0	3.052925000		
165	1150655	K7	ABORT	-1	-1	3	2	2	0	0	2	40002	0	5.947083792		
166	1161197	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.313276667		
167	1166683	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	7.066768500		
168	1181510	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.256846084		
169	1181513	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.509242916		
170	1190559	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.220618625		
171	1190601	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	6.516541209		
172	1202306	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.463219375		
173	1276263	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.874747750		
174	1281771	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	28.272091458		
175	1296288	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.479306959		
176	1297516	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.053109042		
177	1312222	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	8.897801042		
178	1312284	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	4.689913125		
179	1334812	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.967774833		
180	1334815	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	8.345063375		
181	1335614	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.438203083		
182	1335848	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	6.186316334		
183	1335871	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.365972625		
184	1343048	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	9.303408625		
